ID	Names	row.names	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
42	PcesaPBM	cesar2	0.09198644	0.37606292	-0.09566408	-1.180291	0.70363697	0.85840317	0.9802207	-1.28056284	0.3468618	0.41818218	-0.44039531	0.4590942	0.524699551	0.26230634	0.31117147	-0.65525209	0.96634406	1.12936767
43	PcesaPBM	cesar3	1.89651838	0.79408762	-0.18288589	-0.38716733	-0.91830817	-0.60035572	-0.70765527	0.04339125	-0.4980853	1.33066826	0.04191967	0.3746884	-0.957249068	-0.81153419	-1.43256175	-0.34458743	-0.21426998	-0.60120014
44	PcesaPBM	cesar4	1.80338941	-0.1796134	1.75742474	1.66555471	0.51338805	-0.92964629	-1.62169288	1.1035319	1.3929318	1.52730988	0.20597595	-1.5309886	-0.842853986	-1.03580527	-1.43503822	0.00125848	0.12519485	0.38238258
45	PcesaPBM	cesar5	0.24518624	0.47069865	0.35241689	1.74915355	-0.20739079	1.67112493	0.22284425	1.02494331	-0.9502672	-0.30294036	-0.20346881	0.6802884	-0.626005728	1.65894437	1.37209374	2.02725221	0.94292944	0.13277429
46	PcesaPBM	cesar6	-0.21465427	-0.07907559	1.0610541	0.38120943	-0.45502862	0.77375248	-1.31254599	-0.17131621	0.5687568	-0.51970858	0.64887574	-0.4140616	1.345615566	-2.16061703	-0.88288999	-0.77375338	-1.78029734	-1.71608838
47	PcesaPBM	cesar7	-0.25327678	-0.20043054	-0.266447	1.0160835	-1.70360896	-1.54019117	-0.76480483	0.77894553	0.1554766	0.8367444	-0.506961	0.1497081	-0.860470078	0.28757253	0.39055268	-0.75914309	-2.13592637	-1.80403877
48	PcesaPBM	cesar8	-0.11221172	-0.08420691	-0.70811515	-2.62473563	0.0757452	-1.07988669	-0.06948354	0.95375573	-2.0792625	-0.78745539	-0.46394409	1.5423839	-1.093133664	0.42094495	-0.65519141	1.11882316	-0.91152997	1.55945394
49	PcesaPBM	cesar9	0.16457632	0.55516622	-1.04281029	0.22149095	-1.14574719	-0.75538036	0.04477424	-1.50401418	-1.020561	-0.38603614	0.12776821	0.2099842	-0.294795353	0.42547019	1.1264146	-0.50426317	0.46397563	0.41898512
50	PcesaPBM	cesar10	-0.12802764	-0.08738921	-0.57842642	-0.31356381	-0.85407541	-0.56002662	-0.52689734	0.42115644	1.9280412	-0.22453691	0.30166729	-1.7389867	0.835705927	-0.56234246	-1.34757028	-0.61888492	2.07756504	-0.05847066
51	PcesaPBM	cesar11	-0.7247137	-1.53184829	-1.93013489	-1.17444722	0.09781927	-1.65370132	-0.78685598	-0.86665952	-1.5342284	-0.70883355	0.02039574	-0.5448081	-1.415891836	-1.28434913	-0.05956077	-2.87715758	-1.07265538	-1.80256831
52	PcesaPBM	cesar12	0.85899257	-0.74508224	1.61801507	-0.10709645	-0.1802927	0.09777415	0.26443158	1.37326551	0.3708087	-0.30563394	0.37437689	1.1116841	-1.436740774	-0.29828523	-0.2897631	0.55959063	-0.89084005	-0.98475944
